Accession #,Research_note,,,,,,Family,collector_no,,Country,,Collected_Date,Depth,Det_Date,Determiner,,Notes,,,,,Genus,geo_locate,geo,geo_year,geo_source,geo_Lat_dd,geo_Lat_deg,geo_Lat_min,geo_Lat_sec,geo_Long_dd,geo_Long_deg,geo_Long_min,geo_Long_sec,coord_source,,Habitat,Insitution,,curation_notes,Locality,,,,Sci_name,other_collectors,Phylum,Collector,Project_id,state_province,,reproduction,research_annot,,species,authority,,,,type_status,,,,datum,Lat_deg,Lat_min,Lat_sec,Long_deg,Long_min,Long_sec
A88665,"Corallina sp. 1frondescens, but no genetic determination Det. Patrick T. Martone and Katy R. Hind 2013, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-139,Yes,Canada,,2009 Feb 09,1 m,2013,Patrick T. Martone and Katy R. Hind,,genetic sample,,,,,Corallina,Crystal Kwong,745,2018,Unknown,48.48,48,29,0,-124.27,-124,16,0,Verbatim from Collector/Sheet,,Exposed bench and in tidepool,UBC,,"ReturnedOn loan to Martone Lab, Feb 2013 - Returned 2014 Sep","Vancouver Island, Sombrio Point",,,,Corallina officinalis by Patrick T. Martone 2009,,Rhodophyta,K. Fisher,2014OctDani,British Columbia,,,,,sp.,LinnaeusåÊ,,,,,,,,,48,29,0,-124,16,0
A88701,"No genetic determination Det. Patrick T. Martone and Katy R. Hind 2013, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-175,Yes,Canada,,2010 Jul 10,high intertidal,2010,Patrick T. Martone,,,,,,,Mesophyllum,Crystal Kwong,0,2018,Unknown,48.529253,48.529253,,,-124.453704,-124.453704,,,Verbatim from Collector/Sheet,,Engulfing C. vancouveriensis in tidepool with Phyllospadix sp.,UBC,,"ReturnedOn loan to Martone Lab, Feb 2013 - Returned 2014 Sep","Vancouver Island, Port Renfrew, Botanical Beach",,,,Mesophyllum vancouveriense ? by Patrick T. Martone 2010,,Rhodophyta,F.J. Hodge,2014OctDani,British Columbia,?,,,,vancouveriense,Foslie (Steneck & R.T. Paine),,,,,,,,,48.529253,,,-124.453704,,
A88583,,,,,,,Florideophyceae,PTM-18,Yes,United States,,2007 Sep 26,low intertidal,2007,Patrick T. Martone,,,,,,,Melobesia,Crystal Kwong,9,2018,Unknown,36.6217,36,37,18.07,-121.9041,-121,54,14.58,Verbatim from Collector/Sheet,,"On Phyllospadix sp., down from HMS water towers",UBC,,"ReturnedOn loan to Martone Lab, Feb 2013 - Returned 2014 Sep","Pacific Grove, Hopkins Marine Station",,,,Melobesia mediocris by Patrick T. Martone 2007,,Rhodophyta,Patrick T. Martone,2014OctDani,California,,,,,mediocris,(Foslie) Setchell & L.R.MasonåÊ,,,,,,,,,36,37,18.07,-121,54,14.58
A88713,"Pseudolithophyllum muricatum spp., supported by rbcL gene Det. Paul W. Gabrielson 2010, University of British Columbia Herbarium","Crusticorallina muricata Det. Katharine R. Hind, Paul W. Gabrielson, C.P. Jensen, Patrick T. Martone 2016, University of British Columbia Herbarium",,,,Journal of Phycology 52(6):929-941,Florideophyceae,PTM-188,Yes,Canada,,2010 Jul 11,low intertidal,2016,"Katharine R. Hind, Paul W. Gabrielson, C.P. Jensen, Patrick T. Martone",,,,,,,Crusticorallina,Crystal Kwong,0,2018,Unknown,48.529253,48.529253,,,-124.453704,-124.453704,,,Verbatim from Collector/Sheet,,Below Postelsia sp.,UBC,,,"Vancouver Island, Port Renfrew, Botanical Beach",,,,Pseudolithophyllum muricatum ? by Patrick T. Martone 2010,,Rhodophyta,Patrick T. Martone,2014OctDani,British Columbia,?,,,,muricata,"(Foslie) P.W.Gabrielson, Martone, K.R.Hind & C.P.Jensen",,,,,,,,,48.529253,,,-124.453704,,
A88714,"Pseudolithophyllum muricatum spp., supported by rbcL gene Det. Paul W. Gabrielson 2010, University of British Columbia Herbarium","Crusticorallina muricata Det. Katharine R. Hind, Paul W. Gabrielson, C.P. Jensen, Patrick T. Martone 2016, University of British Columbia Herbarium",,,,Journal of Phycology 52(6):929-941,Florideophyceae,PTM-189,Yes,Canada,,2010 Jul 11,low intertidal,2016,"Katharine R. Hind, Paul W. Gabrielson, C.P. Jensen, Patrick T. Martone",,,,,,,Crusticorallina,Crystal Kwong,0,2018,Unknown,48.529253,48.529253,,,-124.453704,-124.453704,,,Verbatim from Collector/Sheet,,Below Postelsia sp.,UBC,,,"Vancouver Island, Port Renfrew, Botanical Beach",,,,Pseudolithophyllum muricatum ? by Patrick T. Martone 2010,,Rhodophyta,Patrick T. Martone,2014OctDani,British Columbia,?,,,,muricata,"(Foslie) P.W.Gabrielson, Martone, K.R.Hind & C.P.Jensen",,,,,,,,,48.529253,,,-124.453704,,
A88584,,,,,,,Florideophyceae,PTM-19,Yes,United States,,2007 Sep 26,low intertidal,2007,Patrick T. Martone,,,,,,,Clathromorphum,Crystal Kwong,9,2018,Unknown,36.6217,36,37,18.07,-121.9041,-121,54,14.58,Verbatim from Collector/Sheet,,on Calliarthron,UBC,,,"Pacific Grove, Hopkins Marine Station",,,,Clathromorphum parcum by P.T. Martone 2007,,Rhodophyta,Patrick T. Martone,,California,,,,,parcum,(Setchell & Foslie) W.H.Adey,,,,,,,,,36,37,18.07,-121,54,14.58
A88715,"Pseudolithophyllum muricatum spp., supported by rbcL gene Det. Paul W. Gabrielson 2010, University of British Columbia Herbarium","Crusticorallina muricata Det. Katharine R. Hind, Paul W. Gabrielson, C.P. Jensen, Patrick T. Martone 2016, University of British Columbia Herbarium",,,,Journal of Phycology 52(6):929-941,Florideophyceae,PTM-190,Yes,Canada,,2010 Jul 11,low intertidal,2016,"Katharine R. Hind, Paul W. Gabrielson, C.P. Jensen, Patrick T. Martone",,,,,,,Crusticorallina,Crystal Kwong,0,2018,Unknown,48.529253,48.529253,,,-124.453704,-124.453704,,,Verbatim from Collector/Sheet,,Below Postelsia sp.,UBC,,,"Vancouver Island, Port Renfrew, Botanical Beach",,,,Pseudolithophyllum muricatum ? by Patrick T. Martone 2010,,Rhodophyta,Patrick T. Martone,2014OctDani,British Columbia,?,,,,muricata,"(Foslie) P.W.Gabrielson, Martone, K.R.Hind & C.P.Jensen",,,,,,,,,48.529253,,,-124.453704,,
A88716,"Leptophytum ? sp. Det. Patrick T. Martone 2012, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-191,Yes,Canada,,2010 Jul 11,low intertidal ,2010,Patrick T. Martone,,,,,,,Leptophytum,Crystal Kwong,0,2018,Unknown,48.529253,48.529253,,,-124.453704,-124.453704,,,Verbatim from Collector/Sheet,,below Postelsia,UBC,,"ReturnedOn loan to Martone Lab, Feb 2013 - Returned 2014 Sep","Vancouver Island, Port Renfrew, Botanical Beach",,,,Pseudolithophyllum muricatum ? by Patrick T. Martone 2010,,Rhodophyta,Patrick T. Martone,2014OctDani,British Columbia,?,,,,sp.,,,,,,,,,,48.529253,,,-124.453704,,
A88717,"Pseudolithophyllum muricatum spp., supported by rbcL gene Det. Paul W. Gabrielson 2010, University of British Columbia Herbarium","Crusticorallina muricata Det. Katharine R. Hind, Paul W. Gabrielson, C.P. Jensen, Patrick T. Martone 2016, University of British Columbia Herbarium",,,,Journal of Phycology 52(6):929-941,Florideophyceae,PTM-192,Yes,Canada,,2010 Jul 11,low intertidal ,2016,"Katharine R. Hind, Paul W. Gabrielson, C.P. Jensen, Patrick T. Martone",,,,,,,Crusticorallina,Crystal Kwong,0,2018,Unknown,48.529253,48.529253,,,-124.453704,-124.453704,,,Verbatim from Collector/Sheet,,Below Postelsia sp.,UBC,,,"Vancouver Island, Port Renfrew, Botanical Beach",,,,Pseudolithophyllum muricatum ? by Patrick T. Martone 2010,,Rhodophyta,Patrick T. Martone,2014OctDani,British Columbia,?,,,,muricata,"(Foslie) P.W.Gabrielson, Martone, K.R.Hind & C.P.Jensen",,,,,,,,,48.529253,,,-124.453704,,
A88718,"Pseudolithophyllum ? muricatum Det. Patrick T. Martone 2010, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-193,Yes,Canada,,2010 Jul 11,low intertidal ,2010,Patrick T. Martone,,,,,,,Pseudolithophyllum,Crystal Kwong,0,2018,Unknown,48.529253,48.529253,,,-124.453704,-124.453704,,,Verbatim from Collector/Sheet,,below Postelsia,UBC,,"ReturnedOn loan to Martone Lab, Feb 2013 - Returned 2014 Sep","Vancouver Island, Port Renfrew, Botanical Beach",,,,Leptophytum sp. by Patrick T. Martone 2010,,Rhodophyta,Patrick T. Martone,2014OctDani,British Columbia,?,,,,muricatum,Foslie (Steneck & R.T. Paine),,,,,,,,,48.529253,,,-124.453704,,
A88720,"Pseudolithophyllum muricatum spp., supported by rbcL gene Det. Paul W. Gabrielson 2009, University of British Columbia Herbarium","Crusticorallina muricata Det. Katharine R. Hind, Paul W. Gabrielson, C.P. Jensen, Patrick T. Martone 2016, University of British Columbia Herbarium",,,,Journal of Phycology 52(6):929-941,Florideophyceae,PTM-195,Yes,Canada,,2010 Jul 11,low intertidal ,2016,"Katharine R. Hind, Paul W. Gabrielson, C.P. Jensen, Patrick T. Martone",,,,,,,Crusticorallina,Crystal Kwong,0,2018,Unknown,48.529253,48.529253,,,-124.453704,-124.453704,,,Verbatim from Collector/Sheet,,below Postelsia,UBC,,,"Vancouver Island, Port Renfrew, Botanical Beach",,,,Pseudolithophyllum muricatum ? by Patrick T. Martone 2010,,Rhodophyta,Patrick T. Martone,2014OctDani,British Columbia,?,,,,muricata,"(Foslie) P.W.Gabrielson, Martone, K.R.Hind & C.P.Jensen",,,,,,,,,48.529253,,,-124.453704,,
A88590,"No genetic determination Det. Patrick T. Martone and Katy R. Hind 2013, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-27,Yes,United States,,2007 Oct 10,,2007,Patrick T. Martone,,genetic sample,,,,,Corallina,Crystal Kwong,0,2018,Unknown,33.592458,33.592458,,,-117.874889,-117.874889,,,Verbatim from Collector/Sheet,,Growing in tidepool,UBC,,"ReturnedOn loan to Martone Lab, Feb 2013 - Returned 2014 Sep","Corona del Mar, Laguna Beach",Epilithic,,,Corallina pinnatifolia by Patrick T. Martone 2007,,Rhodophyta,S. Whitaker,2014OctDani,California,,,,,pinnatifolia,(Manza) DawsonåÊ,,,,,,,,,33.592458,,,-117.874889,,
A89446,"Bossiella sp. 5chiloensis, no genetic determination Det. Patrick T. Martone and Katy R. Hind 2013, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-197,Yes,Canada,,2010 Aug 10,low intertidal,2013,Patrick T. Martone and Katy R. Hind,,,,,,,Bossiella,Crystal Kwong,0,2018,Unknown,48.529253,48.529253,,,-124.453704,-124.453704,,,Verbatim from Collector/Sheet,,Under Alarias sp. and M. splendens,UBC,,"ReturnedOn loan to Martone Lab, Feb 2013 - Returned 2014 Sep","Vancouver Island, Port Renfrew, Botanical Beach",,,,Bossiella frondifera by Patrick T. Martone 2010,,Rhodophyta,Patrick T. Martone,2014OctDani,British Columbia,,,,,sp.,,,,,,,,,,48.529253,,,-124.453704,,
A89447,"Bossiella schmittii, no genetic determination Det. Patrick T. Martone and Katy R. Hind 2013, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-196,Yes,United States,,2009 Nov 16,90 ft,2013,Patrick T. Martone and Katy R. Hind,,,,,,,Bossiella,,,,,,,,,,,,,,,,UBC,,"ReturnedOn loan to Martone Lab, Feb 2013 - Returned 2014 Sep",Carmel Bay,,,,Bossiella californica by Patrick T. Martone 2009,,Rhodophyta,Jasmine Ruvalcaba,2014OctDani,California,,,,,schmittii,(Decaisne) P.C.Silva,,,,,,,,,,,,,,
A88712,,,,,,,Florideophyceae,PTM 187,Yes,Canada,,2010 Jul 11,Lower mid-intertidal,2010 Jul 11,Patrick T. Martone,,,,,,,‰ÛÏCoralline‰Ûù,Crystal Kwong,0,2018,Unknown,48.529253,48.529253,,,-124.453704,-124.453704,,,Verbatim from Collector/Sheet,,Under Hedophyllum sp.,UBC,,"ReturnedOn loan to Martone Lab, Feb 2013 - Returned 2014 Sep","Vancouver Island, Port Renfrew, Botanical Beach",,,,Unidentified coralline crust by Patrick T. Martone,,Rhodophyta,Jenn Jorve,2014OctDani,British Columbia,,,,,,,,,,,,,,,48.529253,,,-124.453704,,
A88719,"Pseudolithophyllum sp. 2whidbeyense, supported by rbcL gene Det. Paul W. Gabrielson 2010, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-194,Yes,Canada,,2010 Jul 11,low intertidal,2010,Paul W. Gabrielson,,,,,,,Pseudolithophyllum,Crystal Kwong,0,2018,Unknown,48.529253,48.529253,,,-124.453704,-124.453704,,,Verbatim from Collector/Sheet,,Below Postelsia sp.,UBC,,,"Vancouver Island, Port Renfrew, Botanical Beach",,,,Unidentified coralline crust by Patrick T. Martone,,Rhodophyta,Patrick T. Martone,2014OctDani,British Columbia,,,,,sp.,,,,,,,,,,48.529253,,,-124.453704,,
A89448,"Corallina vancouveriensis, confirmed by rbcL sequence Det. Katy R. Hind 2013, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-313,Yes,Canada,,2011 Aug 12,,2011,Patrick T. Martone,,,,,,,Corallina,Crystal Kwong,670,2018,NAD27,53.53,53,32,0,-130.65,-130,39,0,BC_GeographicalName Table,,,UBC,,"Loan requested by Soren Huber (Martone Lab) with loan UBC_2018_A3; already on loan to Martone LabOn loan to Martone lab, 2017 Oct (UBC_2017_A5)","Hakai (Calvert Island), Northwest rocks on West Beach",,,,Corallina c.f. californiensis by Patrick T. Martone 2011,,Rhodophyta,Patrick T. Martone,2018Apr23_request,British Columbia,,,,,vancouveriensis,Yendo,,,,,,,,,,,,,,
A89449,"Corallina officinalis var. chilensis, confirmed by rbcL sequence Det. Katy R. Hind 2013, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-327,Yes,Canada,,2011 Aug 15,,2013,Katy R. Hind,,,,,,,Corallina,,,,,,,,,,,,,,,Exposed Point,UBC,,"On loan to Martone lab, 2017 Oct (UBC_2017_A5)","Hakai (Calvert Island), 5th Beach",,,,Corallina californiensis by Patrick T. Martone 2011,,Rhodophyta,Patrick T. Martone,PTM2017-2,British Columbia,,,,,officinalis,Linnaeus,,,,,,chilensis,(Decaisne) KÌ_tzing,,,,,,,
A90248,,,,Yes,,,Florideophyceae,SCL 15311,,Canada,,2013 May 27,,2013,S.C. Lindstrom,,,,,,,Mastocarpus,Crystal Kwong,701,2018,Unknown,51.65,51,39,9,-128.14,-128,8,28,Verbatim from Collector/Sheet,,Lower mid intertidal rock in sand,UBC,,,"Calvert Island, West Beach, west end",,,,Mastocarpus vancouveriensis by S.C. Lindstrom 2013 ,,Rhodophyta,Patrick T. Martone,SLA HAK1,British Columbia,,,,,vancouveriensis,"S.C. Lindstrom, Hughey et Martone",,,,,,,,,51,39,9,-128,8,28
A90325,,,,Yes,,,Florideophyceae,SCL 15368,,Canada,,2013 May 28,,2013,S.C. Lindstrom,,,,,,,Ahnfeltia,Crystal Kwong,70,2018,Unknown,51.6388,51,38.326,,-128.156,-128,9.38,,Verbatim from Collector/Sheet,,Intertidal,UBC,,,"Calvert Island, Fifth Beach, exposed point channel",,,,Ahnfeltia fastigiata by S.C. Lindstrom 2013 ,,Rhodophyta,Patrick T. Martone,SLA HAK2,British Columbia,,,,,fastigiata,(Endlicher) Makienko,,,,,,,,,51,38.326,,-128,9.38,
A90372,,,,Yes,,,Florideophyceae,PTM 424,,Canada,,2013 May 22,8 m,2013,Patrick T. Martone,,,,,,,Rhodoptilum,Crystal Kwong,70,2018,Unknown,51.6697,51,40.182,,-128.117,-128,7.02,,Verbatim from Collector/Sheet,,Boulder field,UBC,,,"Calvert Island, Wolf Beach",,,,Rhodoptilum plumosum by P.T. Martone 2013 ,,Rhodophyta,K. Hind,SLA HAK2,British Columbia,,,,,plumosum,(Harvey et Bailey) Kylin,,,,,,,,,51,40.182,,-128,7.02,
A90392,,,,Yes,,,Phaeophyceae,SCL 15288,,Canada,,2013 May 25,,2013,S.C. Lindstrom,,,,,,,Stephanocystis,Crystal Kwong,701,2018,Unknown,51.66,51,39,50,-128.14,-128,8,15,Verbatim from Collector/Sheet,,Drift,UBC,,,"Calvert Island, North Beach",,,,Stephanocystis geminata by S.C. Lindstrom 2013 ,,Ochrophyta,Patrick T. Martone,SLA HAK2,British Columbia,,,,,geminata,"(C. Agardh) Draisma, Ballesteros, F. Rousseau & T. Thibaut",,,,,,,,,51,39,50,-128,8,15
A90425,,,,Yes,,,Florideophyceae,SCL 14972,,Canada,,2012 Jul 03,,2012,S.C. Lindstrom,,,,,,,Lomentaria,Crystal Kwong,70,2018,Unknown,51.651,51,39.07,,-128.142,-128,8.49,,Verbatim from Collector/Sheet,,Low intertidal boulder,UBC,,,"Calvert Island, West Beach Boulder",,,,Lomentaria hakodatensis by S.C. Lindstrom 2012 ,,Rhodophyta,Patrick T. Martone,Hakai July,British Columbia,,,,,hakodatensis,Yendo,,,,,,,,,51,39.07,,-128,8.49,
A90428,,,,Yes,,,Phaeophyceae,SCL 14975,,Canada,,2012 Jul 03,,2012,Patrick T. Martone,,,,,,,Melanosiphon,Crystal Kwong,70,2018,Unknown,51.6523,51,39.136,,-128.141,-128,8.46,,Verbatim from Collector/Sheet,,High intertidal bedrock,UBC,,,"Calvert Island, crevice between West Beach and Boulder Beach",,,,Melanosiphon intestinalis by P.T. Martone 2012 ,,Ochrophyta,Patrick T. Martone,Hakai July,British Columbia,,,,,intestinalis,(D.A. Saunders) M.J. Wynne,,,,,,,,,51,39.136,,-128,8.46,
A90429,,,,Yes,,,Florideophyceae,SCL 14976,,Canada,,2012 Jul 03,,2012,S.C. Lindstrom,,silica gel voucher,,,,,Rhodochorton,Crystal Kwong,70,2018,Unknown,51.6523,51,39.136,,-128.141,-128,8.46,,Verbatim from Collector/Sheet,,High intertidal bedrock,UBC,,,"Calvert Island, crevice between West Beach and Boulder Beach",,,,Rhodochorton purpureum by S.C. Lindstrom 2012 ,,Rhodophyta,Patrick T. Martone,Hakai July,British Columbia,,,,,purpureum,(Lightfoot) Rosenvinge,,,,,,,,,51,39.136,,-128,8.46,
A90471,,,,Yes,,,Ulvophyceae,SCL 15015,,Canada,,2012 Jul 05,,2012,S.C. Lindstrom,,extract A52; ID confirmed 26-Jul-2012,,,,,Acrosiphonia,Crystal Kwong,70,2018,Unknown,51.6408,51,38.447,,-128.157,-128,9.39,,Verbatim from Collector/Sheet,,High intertidal bedrock,UBC,,,"Calvert Island, Fifth Beach",,,,Acrosiphonia arcta by S.C. Lindstrom 2012 ,,Chlorophyta,Patrick T. Martone,Hakai July,British Columbia,,,,,arcta,(Dillwyn) Gain,,,,,,,,,51,38.447,,-128,9.39,
A90494,,,,Yes,,,Florideophyceae,SCL 15039,,Canada,,2012 Jul 06,,2012,S.C. Lindstrom,,,comosa,Setchell et N.L. Gardner,,,Odonthalia,Crystal Kwong,70,2018,Unknown,51.639,51,38.33,,-128.157,-128,9.44,,Verbatim from Collector/Sheet,,"Mid intertidal bedrock, exposed site",UBC,,,"Calvert Island, Fifth Beach",,,,Odonthalia floccosa by S.C. Lindstrom 2012 ,,Rhodophyta,Patrick T. Martone,Hakai July,British Columbia,,,,,floccosa,(Esper) Falkenberg,,,,,,,,,51,38.33,,-128,9.44,
A90495,,,,Yes,,,Florideophyceae,SCL 15040,,Canada,,2012 Jul 06,,2012,S.C. Lindstrom,,silica gel voucher,,,,,Dilsea,Crystal Kwong,70,2018,Unknown,51.639,51,38.33,,-128.157,-128,9.44,,Verbatim from Collector/Sheet,,"Mid intertidal bedrock, exposed site",UBC,,,"Calvert Island, Fifth Beach",,,,Dilsea pygmaea by S.C. Lindstrom 2012 ,,Rhodophyta,Patrick T. Martone,Hakai July,British Columbia,,,,,pygmaea,(Setchell) Setchell,,,,,,,,,51,38.33,,-128,9.44,
A89558,"Bossiella frondescens, species determination supported by rbcL sequence Det. Katy R. Hind 2013, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-207b,Yes,Canada,,2011 Jun 10,,2011,Patrick T. Martone,,,,,,,Bossiella,Crystal Kwong,0,2018,Unknown,51.651533,51.651533,,,-128.146583,-128.146583,,,Verbatim from Collector/Sheet,,"Upper mid intertidal, bottom of large boulder",UBC,,"ReturnedOn Loan to Martone Lab, 2014 Sep - Returned 2015 Sep","Hakai Luxvbalis Conservancy, Calvert Island, West beach boulders",,,,Corallina frondescens by Patrick T. Martone 2012,,Rhodophyta,Patrick T. Martone,,British Columbia,,,,,frondescens,,,,,,,,,,51.651533,,,-128.146583,,
A89559,"Bossiella sp. 2chiloensis, species determination supported by rbcL sequence Det. Katy R. Hind 2013, University of British Columbia Herbarium",,,,,,,PTM-207a,Yes,Canada,,2011 Jun 10,,2013,Katy R. Hind,,,,,,,Bossiella,Crystal Kwong,0,2018,Unknown,51.651533,51.651533,,,-128.146583,-128.146583,,,Verbatim from Collector/Sheet,,"Upper mid intertidal, bottom of large boulder",UBC,,,"Hakai Luxvbalis Conservancy, Calvert Island, West beach boulders",,,,Bossiella chiloensis by Patrick T. Martone 2011,,,Patrick T. Martone,2014OctDani,British Columbia,,,,,sp.,,,,,,,,,,51.651533,,,-128.146583,,
A89560,"Bossiella dichotoma, supported by rbcL sequence Det. Patrick T. Martone 2012, University of British Columbia Herbarium",,,,,,,PTM-208,Yes,Canada,,2011 Jun 10,,2011,Patrick T. Martone,,,,,,,Bossiella,Crystal Kwong,0,2018,Unknown,51.651533,51.651533,,,-128.146583,-128.146583,,,Verbatim from Collector/Sheet,,"Upper mid intertidal tidepool, base of cliff surrounded by sand",UBC,,,"Hakai Luxvbalis Conservancy, Calvert Island, West beach boulders",,,,Bossiella dichotoma by Patrick T. Martone 2011,,,Patrick T. Martone,2014OctDani,British Columbia,,,,,dichotoma,,,,,,,,,,51.651533,,,-128.146583,,
A89561,"Corallina sp. 1frondescens, supported by rbcL sequence Det. Patrick T. Martone 2012, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-209,Yes,Canada,,2011 Jun 10,,2012,Patrick T. Martone,,,,,,,Corallina,Crystal Kwong,0,2018,Unknown,51.651533,51.651533,,,-128.146583,-128.146583,,,Verbatim from Collector/Sheet,,"Upper mid intertidal tidepool, base of cliff surrounded by sand",UBC,,"On loan to Martone lab, 2017 Oct (UBC_2017_A5)","Hakai Luxvbalis Conservancy, Calvert Island, West beach boulders",,,,Corallina frondescens by Patrick T. Martone 2011,,Rhodophyta,Patrick T. Martone,PTM2017-2,British Columbia,,,,,sp.,,,,,,,,,,51.651533,,,-128.146583,,
A89562,"Bossiella frondifera, species determination supported by rbcL sequence Det. Patrick T. Martone 2012, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-210,Yes,Canada,,2011 Jun 10,,2012,Patrick T. Martone,,,,,,,Bossiella,Crystal Kwong,0,2018,Unknown,51.651533,51.651533,,,-128.146583,-128.146583,,,Verbatim from Collector/Sheet,,"Upper mid intertidal tidepool, base of cliff surrounded by sand",UBC,,"ReturnedOn loan to Soren Huber, Martone Lab, 2018 Jan (UBC_2018_A1) - Returned 2018 AprReturnedOn Loan to Martone Lab, 2014 Sep - Returned 2015 Sep","Hakai Luxvbalis Conservancy, Calvert Island, West beach boulders",,,,Bossiella plumosa by Patrick T. Martone 2011,,Rhodophyta,Patrick T. Martone,BossiellaLoan2018,British Columbia,,,,,frondifera,,,,,,,,,,51.651533,,,-128.146583,,
A89563,"Bossiella californica, supported by rbcL sequence Det. Patrick T. Martone 2012, University of British Columbia Herbarium",,,,,,,PTM-211,Yes,Canada,,2011 Jun 10,,2011,Patrick T. Martone,,,,,,,Bossiella,Crystal Kwong,0,2018,Unknown,51.651533,51.651533,,,-128.146583,-128.146583,,,Verbatim from Collector/Sheet,,"Upper mid intertidal tidepool, base of cliff surrounded by sand",UBC,,,"Hakai Luxvbalis Conservancy, Calvert Island, West beach boulders",,,,Bossiella californica by Patrick T. Martone 2011,,,Patrick T. Martone,2014OctDani,British Columbia,,,,,californica,,,,,,,,,,51.651533,,,-128.146583,,
A89564,,,,,,,Florideophyceae,PTM-212,Yes,Canada,,2011 Jun 10,,2011,Patrick T. Martone,,,,,,,Corallina,Crystal Kwong,0,2018,Unknown,51.651533,51.651533,,,-128.146583,-128.146583,,,Verbatim from Collector/Sheet,,"Upper mid intertidal, just outside tidepool, base of cliff surrounded by sand",UBC,,"Loan requested by Soren Huber (Martone Lab) with loan UBC_2018_A3; already on loan to Martone LabOn loan to Martone lab, 2017 Oct (UBC_2017_A5)","Hakai Luxvbalis Conservancy, Calvert Island, West beach boulders",,,,Corallina vancouveriensis by Patrick T. Martone 2011,,Rhodophyta,Patrick T. Martone,2018Apr23_request,British Columbia,,,,,vancouveriensis,Yendo,,,,,,,,,51.651533,,,-128.146583,,
A89565,"Corallina officinalis, supported by rbcL sequence Det. Patrick T. Martone 2012, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-213,Yes,Canada,,2011 Jun 10,,2012,Patrick T. Martone,,,,,,,Corallina,Crystal Kwong,1,2018,Unknown,51.663066,51.663066,,,-128.14096,-128.14096,,,Verbatim from Collector/Sheet,,Cast ashore,UBC,,"On loan to Martone lab, 2017 Oct (UBC_2017_A5)","Hakai Luxvbalis Conservancy, Calvert Island, West beach boulders",,,,Corallina officinalis var. chilensis by Patrick T. Martone 2011,,Rhodophyta,Patrick T. Martone,PTM2017-2,British Columbia,,,,,officinalis,Linnaeus,,,,,,,,,51.663066,,,-128.14096,,
A89566,"No genetic determination Det. Patrick T. Martone and Katy R. Hind 2013, University of British Columbia Herbarium",,,,,,,PTM-214,Yes,Canada,,2011 Jun 11,3 m,2011,Patrick T. Martone,,,,,,,Lithothamnion,Crystal Kwong,0,2018,Unknown,51.651533,51.651533,,,-128.146583,-128.146583,,,Verbatim from Collector/Sheet,,"Mid intertidal, near Pseudolithophyllum neofarlowii",UBC,,,"Hakai Luxvbalis Conservancy, Calvert Island, West beach boulders",On small cobble,,,Lithothamnion phymatodeum by Patrick T. Martone 2011,,,Patrick T. Martone,2014OctDani,British Columbia,,,,,phymatodeum,,,,,,,,,,51.651533,,,-128.146583,,
A89583,"No genetic determination Det. Patrick T. Martone and Katy R. Hind 2013, University of British Columbia Herbarium",,,,,,,PTM-232,Yes,Canada,,2011 Aug 13,,2011,Patrick T. Martone,,,,,,,Melobesia,Crystal Kwong,1,2018,Unknown,51.66545,51.66545,,,-128.136033,-128.136033,,,Verbatim from Collector/Sheet,,Low,UBC,,,"Hakai Luxvbalis Conservancy, Calvert Island, North Beach bench",On Phyllospadix sp.,,,Melobesia mediocris by Patrick T. Martone 2011,,,Patrick T. Martone,2014OctDani,British Columbia,,,,,mediocris,,,,,,,,,,51.66545,,,-128.136033,,
A89654,,,,,,,,PTM-198,Yes,Hong Kong,,2010 May 14,,2010,Patrick T. Martone,,"splotchy, small fast-growing crust, unknown crust",,,,,"""Coralline""",Crystal Kwong,0,2018,Unknown,22.237863,22.237863,,,114.251454,114.251454,,,Verbatim from Collector/Sheet,,Near margin of high tidepool with urchins,UBC,,,Shek-O,,,,"""Coralline"" by Patrick T. Martone 2010",,,Patrick T. Martone,2014OctDani,,,,,,,,,,,,,,,,22.237863,,,114.251454,,
A89655,,,,,,,,PTM-199,Yes,Hong Kong,,2011 May 14,,2011,Patrick T. Martone,,"splotchy crust, unknown crust",,,,,"""Coralline""",Crystal Kwong,0,2018,Unknown,22.237863,22.237863,,,114.251454,114.251454,,,Verbatim from Collector/Sheet,,Low intertidal,UBC,,,Shek-O,,,,"""Coralline"" by Patrick T. Martone 2011",,,Patrick T. Martone,2014OctDani,,,,,,,,,,,,,,,,22.237863,,,114.251454,,
