Accession #,Research_note,,,,,,Family,collector_no,,Country,,Collected_Date,Depth,Det_Date,Determiner,,Notes,,,,,Genus,geo_locate,geo,geo_year,geo_source,geo_Lat_dd,geo_Lat_deg,geo_Lat_min,geo_Lat_sec,geo_Long_dd,geo_Long_deg,geo_Long_min,geo_Long_sec,coord_source,,Habitat,Insitution,,curation_notes,Locality,,,,Sci_name,other_collectors,Phylum,Collector,Project_id,state_province,,reproduction,research_annot,,species,authority,,,,type_status,,,,datum,Lat_deg,Lat_min,Lat_sec,Long_deg,Long_min,Long_sec
A87284,,,,,,,Florideophyceae,PTM-04,Yes,United States,,2007 Mar 15,0 m,2007 Mar 15,Patrick T. Martone,,Species determination supported by rbcL gene (P.Gabrielson),,,,,Calliarthron,Crystal Kwong,9,2018,Unknown,36.6217,36,37,18.28,-121.9058,-121,54,20.86,Verbatim from Collector/Sheet,,"Epilithic, low intertidal, ""Coralline Bench"", adjacent to C. cheilosporioides",UBC,,,"Hopkins Marine Station, Pacific Grove, Coralline Bench",,,,Calliarthron tuberculosum by P.T. Martone 2007,,Rhodophyta,Patrick T. Martone,,California,,,,,tuberculosum,(Postels et Ruprecht) E.Y. Dawson,,,,,,,,,36,37,18.28,-121,54,20.86
A87285,,,,,,,Florideophyceae,PTM-06,Yes,United States,,2007 Mar 15,0.5 m,2007 Mar 15,Patrick T. Martone,,Species determination supported by rbcL gene (P.Gabrielson),,,,,Calliarthron,Crystal Kwong,9,2018,Unknown,36.6217,36,37,18.07,-121.9041,-121,54,14.58,Verbatim from Collector/Sheet,,"Epilithic, mid-intertidal tidepool with 4 dynamometers",UBC,,,"Hopkins Marine Station, Pacific Grove",,,,Calliarthron tuberculosum by P.T. Martone 2007,,Rhodophyta,Patrick T. Martone,,California,,,,,tuberculosum,(Postels et Ruprecht) E.Y. Dawson,,,,,,,,,36,37,18.07,-121,54,14.58
A87286,"Calliarthron cheilosporioides, species determination supported by rbcL gene Det. Paul W. Gabrielson 2007, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-07,Yes,United States,,2007 Mar 15,0.5 m,2007,Patrick T. Martone,,,,,,,Calliarthron,Crystal Kwong,9,2018,Unknown,36.6217,36,37,18.07,-121.9041,-121,54,14.58,Verbatim from Collector/Sheet,,"Epilithic, mid-intertidal tidepool with 4 dynamometers",UBC,,,"Hopkins Marine Station, Pacific Grove",,,,Calliarthron cheilosporioides by Patrick T. Martone 2007,,Rhodophyta,Patrick T. Martone,2014OctDani,California,,,,,cheilosporioides,Manza,,,,,,,,,36,37,18.07,-121,54,14.58
A87287,"Calliarthron cheilosporioides, species determination supported by rbcL gene Det. Paul W. Gabrielson 2007, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-28,Yes,United States,,2008 Jan 08,0 m,2008,Patrick T. Martone,,,,,,,Calliarthron,Crystal Kwong,901,2018,Unknown,36.6219,36,37,19.01,-121.91,-121,54,18,Verbatim from Collector/Sheet,,"Low intertidal, adjacent to classic C. cheilosporioides",UBC,,,"Hopkins Marine Station, Pacific Grove",,,,Calliarthron cheilosporioides by Patrick T. Martone 2008,,Rhodophyta,Patrick T. Martone,2014OctDani,California,,,,,cheilosporioides,Manza,,,,,,,,,36,37,19.01,-121,54,18
A87288,"Calliarthron tuberculosum, species determination supported by rbcL gene Det. Paul W. Gabrielson 2007, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-29,Yes,United States,,2008 Jan 08,0 m,2008,Patrick T. Martone,,,,,,,Calliarthron,Crystal Kwong,901,2018,Unknown,36.6219,36,37,19.01,-121.91,-121,54,18,Verbatim from Collector/Sheet,,"Upper low intertidal, above C. cheilosporioides, forming low dense monospecific clusters",UBC,,,"Hopkins Marine Station, Pacific Grove",,,,Calliarthron tuberculosum by Patrick T. Martone 2008,,Rhodophyta,Patrick T. Martone,2014OctDani,California,,,,,tuberculosum,(Postels et Ruprecht) E.Y. Dawson,,,,,,,,,36,37,19.01,-121,54,18
A87289,"Calliarthron cheilosporioides, species determination supported by rbcL gene Det. Paul W. Gabrielson 2007, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-30,Yes,United States,,2008 Jan 20, -0.5 m,2008,Patrick T. Martone,,,,,,,Calliarthron,Crystal Kwong,9,2018,Unknown,36.6217,36,37,18.07,-121.9041,-121,54,14.58,Verbatim from Collector/Sheet,,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool ",UBC,,,"Hopkins Marine Station, Pacific Grove",,,,Calliarthron cheilosporioides by Patrick T. Martone 2008,R.L.Martone,Rhodophyta,Patrick T. Martone,2014OctDani,California,,,,,cheilosporioides,Manza,,,,,,,,,36,37,18.07,-121,54,14.58
A87290,"Calliarthron tuberculosum, species determination supported by rbcL gene Det. Paul W. Gabrielson 2007, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-31,Yes,United States,,2008 Jan 20, -0.5 m,2008,Patrick T. Martone,,,,,,,Calliarthron,Crystal Kwong,9,2018,Unknown,36.6217,36,37,18.07,-121.9041,-121,54,14.58,Verbatim from Collector/Sheet,,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool ",UBC,,,"Hopkins Marine Station, Pacific Grove",,,,Calliarthron tuberculosum by Patrick T. Martone 2008,R.L.Martone,Rhodophyta,Patrick T. Martone,2014OctDani,California,,,,,tuberculosum,(Postels et Ruprecht) E.Y. Dawson,,,,,,,,,36,37,18.07,-121,54,14.58
A87291,"Calliarthron cheilosporioides, species determination supported by rbcL gene Det. Paul W. Gabrielson 2007, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-32,Yes,United States,,2008 Jan 20, -0.5 m,2008,Patrick T. Martone,,,,,,,Calliarthron,Crystal Kwong,9,2018,Unknown,36.6217,36,37,18.07,-121.9041,-121,54,14.58,Verbatim from Collector/Sheet,,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",UBC,,,"Hopkins Marine Station, Pacific Grove",,,,Calliarthron cheilosporioides by Patrick T. Martone 2008,R.L. Martone,Rhodophyta,Patrick T. Martone,2014OctDani,California,,,,,cheilosporioides,Manza,,,,,,,,,36,37,18.07,-121,54,14.58
A87292,"Calliarthron tuberculosum, species determination supported by rbcL gene Det. Paul W. Gabrielson 2008, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-39,Yes,United States,,2008 Jan 20, -0.5 m,2008,Patrick T. Martone,,,,,,,Calliarthron,Crystal Kwong,9,2018,Unknown,36.6217,36,37,18.07,-121.9041,-121,54,14.58,Verbatim from Collector/Sheet,,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool ",UBC,,,"Hopkins Marine Station, Pacific Grove",,,,Calliarthron tuberculosum by Patrick T. Martone 2008,R.L.Martone,Rhodophyta,Patrick T. Martone,2014OctDani,California,,,,,tuberculosum,(Postels et Ruprecht) E.Y. Dawson,,,,,,,,,36,37,18.07,-121,54,14.58
A87293,"Calliarthron tuberculosum, species determination supported by rbcL gene Det. Paul W. Gabrielson 2008, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-40,Yes,United States,,2008 Jan 20, -0.5 m ,2008,Patrick T. Martone,,,,,,,Calliarthron,Crystal Kwong,9,2018,Unknown,36.6217,36,37,18.07,-121.9041,-121,54,14.58,Verbatim from Collector/Sheet,,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool ",UBC,,,"Hopkins Marine Station, Pacific Grove",,,,Calliarthron tuberculosum by Patrick T. Martone 2008,R.L.Martone,Rhodophyta,Patrick T. Martone,2014OctDani,California,,,,,tuberculosum,(Postels et Ruprecht) E.Y. Dawson,,,,,,,,,36,37,18.07,-121,54,14.58
